,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
63,0.0,0.0,0.0,0.0,0.9629261957869749,1.0,0.9285976120399357,244.93333333333334,0.9285976120399357,0.48146309789348746,0.5,0.46429880601996787,244.93333333333334,Weighted Mean - 5x5 Conv Entropy,,,,,0.9,0.5,0.6,0.01,2,0.9629261957869749,1.0,0.9285976120399357,244.93333333333334
64,0.0,0.0,0.0,0.0,0.9052182272449277,1.0,0.8270962160492265,244.93333333333334,0.8270962160492265,0.45260911362246387,0.5,0.4135481080246132,244.93333333333334,Weighted Mean - Mean Entropy,,,,,0.9,0.5,0.6,0.01,2,0.9052182272449277,1.0,0.8270962160492265,244.93333333333334
65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,244.93333333333334,,0.5,0.5,0.5,244.93333333333334,Weighted Mean - Pixelwise Entropy,1.0,1.0,1.0,244.93333333333334,0.9,0.5,0.6,0.01,2,1.0,1.0,1.0,244.93333333333334
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Majority Voting,,,,,0.6,0.4,0.75,0.01,2,0.0,0.0,0.0,325.0
67,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Maximum Proposal,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
68,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Mean Proposal,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
69,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Negotiation - 3x3 Conv Entropy,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
70,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Negotiation - 5x5 Conv Entropy,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
71,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Negotiation - Mean Entropy,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
72,0.0,0.0,0.0,0.0,1.0,1.0,1.0,325.0,,0.5,0.5,0.5,325.0,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,325.0,0.6,0.4,0.75,0.01,2,1.0,1.0,1.0,325.0
