,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,mu_unbalanced,mu_star_unbalanced,gamma_unbalanced,unbalanced_agents,std
37,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Weighted Mean - Pixelwise Entropy,0.5,0.25000025,0.75,1,0.01
38,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Majority Voting,0.6,0.25000025,0.75,1,0.01
39,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Maximum Proposal,0.6,0.25000025,0.75,1,0.01
40,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Mean Proposal,0.6,0.25000025,0.75,1,0.01
41,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy,0.6,0.25000025,0.75,1,0.01
42,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy (Mean-Weighted),0.6,0.25000025,0.75,1,0.01
43,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy (Weighted),0.6,0.25000025,0.75,1,0.01
44,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 5x5 Conv Entropy,0.6,0.25000025,0.75,1,0.01
45,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 5x5 Conv Entropy (Mean-Weighted),0.6,0.25000025,0.75,1,0.01
46,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 5x5 Conv Entropy (Weighted),0.6,0.25000025,0.75,1,0.01
47,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Mean Entropy,0.6,0.25000025,0.75,1,0.01
48,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Mean Entropy (Mean-Weighted),0.6,0.25000025,0.75,1,0.01
49,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Mean Entropy (Weighted),0.6,0.25000025,0.75,1,0.01
50,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Pixelwise Entropy,0.6,0.25000025,0.75,1,0.01
51,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Pixelwise Entropy (Mean-Weighted),0.6,0.25000025,0.75,1,0.01
52,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - Pixelwise Entropy (Weighted),0.6,0.25000025,0.75,1,0.01
